url,final_url,classification,http_status,ok,content_type,fetched_at,response_bytes,sha256,raw_path,crawl_status,disposition,target_path,decision_gate,decision_status,discovered_from,discovery_source,error
https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1753282800860&reversePaginate=true,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1753282800860&reversePaginate=true,article_index,200,true,text/html;charset=utf-8,2026-07-15T19:43:35.629Z,118780,9af01fc666b2a0dc06db9895042ffa451fa54ca9efe6f3df06d34dd521796f92,migration/raw-html/education-d654a103555c.html,snapshotted,,,,,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1635874424454&reversePaginate=true,a[href],
https://www.robbewulgaert.be/education?format=rss,https://www.robbewulgaert.be/education?format=rss,rss,200,true,application/rss+xml; charset=utf-8,2026-07-15T19:42:13.497Z,747434,83fd463b228277b3924d83beeeded96074cbc54f95b22f48dd3668e4b0664eff,migration/raw-html/education-a1f0f16fb6a6.xml,snapshotted,,,,,,seed,
https://www.robbewulgaert.be/education?offset=1635874424454&reversePaginate=true,https://www.robbewulgaert.be/education?offset=1635874424454&reversePaginate=true,article_index,200,true,text/html;charset=utf-8,2026-07-15T19:43:20.860Z,176976,e223daf86bcaf892484cea46ebcc7ea249ba2c83c5479db2b3a5f5d40029a35b,migration/raw-html/education-807372b9f9dd.html,snapshotted,,,,,https://www.robbewulgaert.be/education?offset=1635930633501,a[href],
https://www.robbewulgaert.be/education?offset=1635930633501,https://www.robbewulgaert.be/education?offset=1635930633501,article_index,200,true,text/html;charset=utf-8,2026-07-15T19:43:14.638Z,157528,24245b48dcb5ac0dc8755d2b4c225051e32fe92e16a76259f78e28194dbc239c,migration/raw-html/education-cb751fe0d0a7.html,snapshotted,,,,,https://www.robbewulgaert.be/education?offset=1654442992993,a[href],
https://www.robbewulgaert.be/education?offset=1653840034515&reversePaginate=true,https://www.robbewulgaert.be/education?offset=1653840034515&reversePaginate=true,article_index,200,true,text/html;charset=utf-8,2026-07-15T19:43:14.587Z,176546,208068f813358bb6f90018528193c8c53b122cb045ab35ac4a13eb3a1f0a819c,migration/raw-html/education-df23493d5398.html,snapshotted,,,,,https://www.robbewulgaert.be/education?offset=1654442992993,a[href],
https://www.robbewulgaert.be/education?offset=1654442992993,https://www.robbewulgaert.be/education?offset=1654442992993,article_index,200,true,text/html;charset=utf-8,2026-07-15T19:42:14.602Z,193925,bce86e01a7c425559c96375de07e2e7a5fc7f7362fc4935574054e6225c884d0,migration/raw-html/education-b9ac781ef596.html,snapshotted,,,,,,seed,
https://www.robbewulgaert.be/education?offset=1753282800860&reversePaginate=true,https://www.robbewulgaert.be/education?offset=1753282800860&reversePaginate=true,article_index,200,true,text/html;charset=utf-8,2026-07-15T19:43:24.066Z,111870,6b3b95df8e587159965114878008899315ded6a29f768cadf9108c3636f44018,migration/raw-html/education-78e6ab60d15e.html,snapshotted,,,,,https://www.robbewulgaert.be/education?offset=1635874424454&reversePaginate=true,a[href],
https://www.robbewulgaert.be/education/1-year-of-ai-in-the-classroom,https://www.robbewulgaert.be/education/1-year-of-ai-in-the-classroom,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:17.114Z,189453,bd4c4bba108423da7c374191e959aa9fcd29d90efcb0c3c2d6534ad6a526e15e,migration/raw-html/education-1-year-of-ai-in-the-classroom-8a683bc387b8.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/ai-adventure,https://www.robbewulgaert.be/education/ai-adventure,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.497Z,220327,383d35cf4a04a693f686eabc6efd1662ea832c1e08de6ca000735aa27d957f18,migration/raw-html/education-ai-adventure-c287c8647f4f.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,https://www.robbewulgaert.be/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.680Z,162672,51375558e56ba786a4fe3230e5e4ba0d36e87904b6f870ebb3ee77bf76fe765e,migration/raw-html/education-ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5-e8de3d8554cb.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-and-greek-epigraphy-with-a-robot,https://www.robbewulgaert.be/education/ai-and-greek-epigraphy-with-a-robot,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:17.148Z,217555,22a3d4c486d7b11b8af8bdcaea011911c5007bbd9205d87581083caec726edac,migration/raw-html/education-ai-and-greek-epigraphy-with-a-robot-b50706e9c312.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/ai-art-beethovenai-cahsr,https://www.robbewulgaert.be/education/ai-art-beethovenai-cahsr,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.815Z,149163,c8657ee9da029ebcaa10edc3086a5dadc05ec0e76212cb4e66cebd0f8149791e,migration/raw-html/education-ai-art-beethovenai-cahsr-dd380fca03d5.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-art-ontketen-jouw-lyrische-picasso-dyj8h,https://www.robbewulgaert.be/education/ai-art-ontketen-jouw-lyrische-picasso-dyj8h,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.597Z,179517,b9a50628e18fae0650496682b4077d27168ddb2c19718971f2c328cbbc8ff8e9,migration/raw-html/education-ai-art-ontketen-jouw-lyrische-picasso-dyj8h-af2ac38b4b02.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-art-thanos-snap-photobomb-begone,https://www.robbewulgaert.be/education/ai-art-thanos-snap-photobomb-begone,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.149Z,151649,dc3b587ace167d01fb0f93c498b25654310fbba73c9c5b55420b0d0a0dcf84bd,migration/raw-html/education-ai-art-thanos-snap-photobomb-begone-51fd527f3113.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-as-matchmaker,https://www.robbewulgaert.be/education/ai-as-matchmaker,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.552Z,165907,4e86bc37cd2f0015a57dccc042d2a7e87d31eb9b1dec7fb80488e7a8ea64ff3b,migration/raw-html/education-ai-as-matchmaker-70a5969ed006.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-assessment-scale,https://www.robbewulgaert.be/education/ai-assessment-scale,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.356Z,364361,de0bf5cb05a4f9e915960d6145ef78d1bb7182f8d75945ef74d4b4a9ef23be2e,migration/raw-html/education-ai-assessment-scale-25bff6b7fa6f.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/ai-design-aikea,https://www.robbewulgaert.be/education/ai-design-aikea,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.810Z,177490,e8d2cd79b614831b7920fe52d608352e47fb161fe21b44d0afe39e110ffc2ee5,migration/raw-html/education-ai-design-aikea-7944bc799706.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/ai-for-education-awards,https://www.robbewulgaert.be/education/ai-for-education-awards,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.425Z,168107,ca7014d626b2d83f1016bb6179fef46dce25576d6b90119092fc1b272f4fd379,migration/raw-html/education-ai-for-education-awards-4b4e9fe874d9.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/ai-greek-epigraphy-poetry-and-ai-with-pythia,https://www.robbewulgaert.be/education/ai-greek-epigraphy-poetry-and-ai-with-pythia,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.236Z,171426,52f3be730941b197010a8ecc862cc5f9db8cf385d9b99cba46a5c67a45d61cbd,migration/raw-html/education-ai-greek-epigraphy-poetry-and-ai-with-pythia-6a22b90112d4.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-in-the-classroom,https://www.robbewulgaert.be/education/ai-in-the-classroom,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.268Z,159257,7cb3e2cae88d0f2654b7bb953cd89ff6e66c2e7ef2ea695202ebeddc82ec95fc,migration/raw-html/education-ai-in-the-classroom-961eda437a59.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-in-the-classroom-deepfaking-a-deputy-prime-minister,https://www.robbewulgaert.be/education/ai-in-the-classroom-deepfaking-a-deputy-prime-minister,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.117Z,167707,75ca6c78f33dd67194658be33c7af9386139bd62e6488bbea42c2de3912b490a,migration/raw-html/education-ai-in-the-classroom-deepfaking-a-deputy-prime-minister-b28f35a645c3.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-klassieke-talen-breng-de-romeinse-keizers-tot-leven-xyfsa,https://www.robbewulgaert.be/education/ai-klassieke-talen-breng-de-romeinse-keizers-tot-leven-xyfsa,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:30.871Z,154306,54eb248116abda8579c7d5b81fb2863fc3c7a2d2ec4de84081ca3e97949b367d,migration/raw-html/education-ai-klassieke-talen-breng-de-romeinse-keizers-tot-leven-xyfsa-a4946882dc08.html,snapshotted,,,,,https://www.robbewulgaert.be/sitemap.xml,loc,
https://www.robbewulgaert.be/education/ai-latin-bring-tacitus-to-life,https://www.robbewulgaert.be/education/ai-latin-bring-tacitus-to-life,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:17.186Z,197473,6ad56c3dcf79236615d9b687be373480c4e34b7eb6844811c7aef9dbd8ac1a12,migration/raw-html/education-ai-latin-bring-tacitus-to-life-940c616f97e0.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
https://www.robbewulgaert.be/education/ai-sport-inform,https://www.robbewulgaert.be/education/ai-sport-inform,article,200,true,text/html;charset=utf-8,2026-07-15T19:42:16.893Z,195649,3295936367a10e6759034c58c7d85be8c95396fa18a0612087eb5eb3a7161f9f,migration/raw-html/education-ai-sport-inform-bc190d1903ba.html,snapshotted,,,,,https://www.robbewulgaert.be/education,a[href],
