source_url,final_url,source_path,source_query,classification,locale,crawl_status,http_status,decision_gate,disposition,target_action,target_path,canonical_path,include_in_sitemap,case_collision_id
https://www.robbewulgaert.be/,https://www.robbewulgaert.be/,/,,landing_page,nl-BE,snapshotted,200,,,preserve_exact_path,/,/,true,
https://www.robbewulgaert.be/404,https://www.robbewulgaert.be/404,/404,,fixed_page,nl-BE,snapshotted,200,,,preserve_exact_path,/404,/404,false,
https://www.robbewulgaert.be/about,https://www.robbewulgaert.be/about,/about,,profile_page,en,snapshotted,200,,,preserve_exact_path,/about,/about,true,
https://www.robbewulgaert.be/boek,https://www.robbewulgaert.be/boek,/boek,,fixed_page,nl-BE,snapshotted,200,,,preserve_exact_path,/boek,/boek,true,
https://www.robbewulgaert.be/contact,https://www.robbewulgaert.be/contact,/contact,,contact_page,nl-BE,snapshotted,200,,,preserve_exact_path,/contact,/contact,true,
https://www.robbewulgaert.be/contact-english,https://www.robbewulgaert.be/contact-english,/contact-english,,contact_page,nl-BE,http_error,404,H1,redirect,redirect_stub,/contactinfo,/contactinfo,false,
https://www.robbewulgaert.be/contactinfo,https://www.robbewulgaert.be/contactinfo,/contactinfo,,contact_page,en,snapshotted,200,,,preserve_exact_path,/contactinfo,/contactinfo,true,
https://www.robbewulgaert.be/education,https://www.robbewulgaert.be/education,/education,,article_index,en,snapshotted,200,,,preserve_exact_path,/education,/education,true,
https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2,/education,author=6026af1f0584116c943938d2,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1635874424454&reversePaginate=true,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1635874424454&reversePaginate=true,/education,author=6026af1f0584116c943938d2&offset=1635874424454&reversePaginate=true,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1635930633501,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1635930633501,/education,author=6026af1f0584116c943938d2&offset=1635930633501,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1653840034515&reversePaginate=true,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1653840034515&reversePaginate=true,/education,author=6026af1f0584116c943938d2&offset=1653840034515&reversePaginate=true,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1654442992993,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1654442992993,/education,author=6026af1f0584116c943938d2&offset=1654442992993,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1753282800860&reversePaginate=true,https://www.robbewulgaert.be/education?author=6026af1f0584116c943938d2&offset=1753282800860&reversePaginate=true,/education,author=6026af1f0584116c943938d2&offset=1753282800860&reversePaginate=true,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?format=rss,https://www.robbewulgaert.be/education?format=rss,/education,format=rss,rss,en,snapshotted,200,,,replace_with_locale_feed,/education/rss.xml,/education/rss.xml,false,
https://www.robbewulgaert.be/education?offset=1635874424454&reversePaginate=true,https://www.robbewulgaert.be/education?offset=1635874424454&reversePaginate=true,/education,offset=1635874424454&reversePaginate=true,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?offset=1635930633501,https://www.robbewulgaert.be/education?offset=1635930633501,/education,offset=1635930633501,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?offset=1653840034515&reversePaginate=true,https://www.robbewulgaert.be/education?offset=1653840034515&reversePaginate=true,/education,offset=1653840034515&reversePaginate=true,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?offset=1654442992993,https://www.robbewulgaert.be/education?offset=1654442992993,/education,offset=1654442992993,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education?offset=1753282800860&reversePaginate=true,https://www.robbewulgaert.be/education?offset=1753282800860&reversePaginate=true,/education,offset=1753282800860&reversePaginate=true,article_index,en,snapshotted,200,,,map_legacy_query_to_canonical_pagination,/education,/education,false,
https://www.robbewulgaert.be/education/1-year-of-ai-in-the-classroom,https://www.robbewulgaert.be/education/1-year-of-ai-in-the-classroom,/education/1-year-of-ai-in-the-classroom,,article,en,snapshotted,200,,,preserve_exact_path,/education/1-year-of-ai-in-the-classroom,/education/1-year-of-ai-in-the-classroom,true,
https://www.robbewulgaert.be/education/ai-adventure,https://www.robbewulgaert.be/education/ai-adventure,/education/ai-adventure,,article,en,snapshotted,200,,,preserve_exact_path,/education/ai-adventure,/education/ai-adventure,true,
https://www.robbewulgaert.be/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,https://www.robbewulgaert.be/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,,article,en,snapshotted,200,,,preserve_exact_path,/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,/education/ai-amp-art-wat-als-van-eyck-mijn-selfie-schilderde-6n5l5,true,
https://www.robbewulgaert.be/education/ai-and-greek-epigraphy-with-a-robot,https://www.robbewulgaert.be/education/ai-and-greek-epigraphy-with-a-robot,/education/ai-and-greek-epigraphy-with-a-robot,,article,en,snapshotted,200,,,preserve_exact_path,/education/ai-and-greek-epigraphy-with-a-robot,/education/ai-and-greek-epigraphy-with-a-robot,true,
https://www.robbewulgaert.be/education/ai-art-beethovenai-cahsr,https://www.robbewulgaert.be/education/ai-art-beethovenai-cahsr,/education/ai-art-beethovenai-cahsr,,article,en,snapshotted,200,,,preserve_exact_path,/education/ai-art-beethovenai-cahsr,/education/ai-art-beethovenai-cahsr,true,
